stn,lon,lat,elev,temp_mean,precip_annual,press_mean,rad_mean,snow_annual,cluster_stats
ANT,8.58055277777778,46.6309138888889,1434,4.539446366782007,1296.7847750865053,6.928373702422145,158.327868852459,590.9480968858131,5
BAS,7.583525,47.5411416666667,316,11.235294117647058,832.7833910034603,10.373010380622837,137.5916955017301,29.27335640138408,3
CDF,6.79231388888889,47.0829472222222,1017,7.315916955017301,1363.6193771626297,8.435294117647059,142.78892733564012,246.1038062283737,2
CHD,7.13965555555556,46.4798194444444,1028,7.3695501730103805,1278.3570934256054,8.465743944636678,161.1048951048951,200.84429065743944,2
DAV,9.84355833333333,46.8129694444444,1594,4.173356401384083,1045.278892733564,6.510380622837371,157.99307958477507,433.86851211072667,5
ENG,8.41051388888889,46.8216388888889,1035,7.053287197231834,1565.2692041522491,8.461245674740484,134.3044982698962,345.9672131147541,2
GRH,8.33325555555555,46.5716888888889,1980,2.6072664359861593,1817.3314878892734,5.746712802768166,152.77854671280278,1077.857142857143,1
GSB,7.17068333333333,45.8690916666667,2472,0.10899653979238756,2116.8581314878893,4.994463667820069,163.28719723183391,1134.5454545454545,1
GVE,6.12774166666667,46.2475194444444,410,11.35121107266436,907.7397923875433,10.12318339100346,151.69896193771626,23.833910034602077,3
LUZ,8.30102222222222,47.0364388888889,454,10.354671280276817,1224.5314878892734,10.25190311418685,131.1833910034602,46.715867158671585,3
NEU,6.95329722222222,47.0000666666667,485,10.917993079584775,949.6982698961938,9.922145328719724,140.72318339100346,30.975778546712803,3
OTL,8.78749444444444,46.1722555555556,366,13.134948096885813,1793.6221453287196,10.366089965397924,157.24567474048442,36.622837370242216,4
RAG,9.50259444444444,47.0166305555556,496,10.714186851211073,1015.4532871972318,9.934948096885813,146.14685314685315,108.08333333333334,3
SAE,9.34346944444444,47.2494472222222,2501,-0.5155709342560554,2883.683044982699,4.871626297577855,154.1522491349481,937.7854671280277,1
SAM,9.87946944444444,46.5262472222222,1708,2.568166089965398,708.3737024221452,6.029757785467128,164.49134948096886,264.29065743944636,5
SIA,9.762325,46.4323305555556,1804,2.819377162629758,982.2851211072665,6.078200692041523,174.42372881355934,367.5633802816901,5
SIO,7.33020277777778,46.21865,482,11.009342560553634,575.838062283737,9.438062283737024,165.26643598615917,42.80968858131487,3
SMA,8.56574166666667,47.377925,555,10.094117647058823,1089.8283737024221,9.8401384083045,136.3910034602076,69.79930795847751,3
STG,9.39852777777778,47.425475,775,8.991003460207612,1394.1882352941177,9.122145328719723,134.00346020761245,173.6885813148789,2
