stn,name,lonlat,coord,elev
ANT,Andermatt,8.35'/46.38',687444/165044,1434
BAS,Basel/Binningen,7.35'/47.32',610908/265611,316
CDF,La_Chaux-de-Fonds,6.48'/47.05',550919/214861,1017
CHD,Chateau-d'Oex,7.08'/46.29',577040/147654,1028
DAV,Davos,9.51'/46.49',783518/187458,1594
ENG,Engelberg,8.25'/46.49',674160/186069,1035
GRH,Grimsel_Hospiz,8.20'/46.34',668583/158215,1980
GSB,Col_du_Grand_St-Bernard,7.10'/45.52',579192/79753,2472
GVE,Geneve/Cointrin,6.08'/46.15',498904/122631,410
JUN,Jungfraujoch,7.59'/46.33',641938/155287,3571
LUZ,Luzern,8.18'/47.02',665543/209849,454
NEU,Neuchatel,6.57'/47.00',563086/205559,485
OTL,Locarno/Monti,8.47'/46.10',704166/114316,366
RAG,Bad_Ragaz,9.30'/47.01',756910/209350,496
SAE,Saentis,9.21'/47.15',744187/234920,2501
SAM,Samedan,9.53'/46.32',787249/155685,1708
SIA,Segl-Maria,9.46'/46.26',778574/144976,1804
SIO,Sion,7.20'/46.13',591633/118583,482
SMA,Zuerich/Fluntern,8.34'/47.23',685116/248065,555
STG,St_Gallen,9.24'/47.26',747865/254588,775
