name,stn,wmo_ind,chx,chy,lon,lat,elev,climate_region,climate_region_nr,cluster_lonlat_kmeans,cluster_pca_kmeans,cluster_stats_kmeans,cluster_pca_h,cluster_pca_weighted
Andermatt,ANT,6695,2687444.588,1165043.768,8.58055277777778,46.6309138888889,1438,Zentraler Alpennordhang,7,1,1,3,1,1
Basel / Binningen,BAS,6601,2610908.717,1265611.953,7.583525,47.5411416666667,316.172,Östlicher Jura,1,1,2,2,2,2
La Chaux-de-Fonds,CDF,6612,2550919.036,1214861.977,6.79231388888889,47.0829472222222,1017.01,Westlicher Jura,2,4,2,1,2,2
Château-d'Oex,CHD,6627,2577040.137,1147654.83,7.13965555555556,46.4798194444444,1028,Westlicher Alpennordhang,8,4,2,1,2,3
Davos,DAV,6784,2783519.136,1187458.747,9.84355833333333,46.8129694444444,1594.16,Nord- und Mittelbünden,9,3,3,3,3,3
Engelberg,ENG,6655,2674161.606,1186069.271,8.41051388888889,46.8216388888889,1035.66,Zentraler Alpennordhang,7,1,3,1,3,3
Grimsel Hospiz,GRH,6744,2668583.297,1158214.72,8.33325555555555,46.5716888888889,1980,Westlicher Alpennordhang,8,1,1,4,1,1
Col du Grand St-Bernard,GSB,6717,2579191.125,1079754.155,7.17068333333333,45.8690916666667,2472,Alpensüdseite,12,4,1,4,1,1
Genève / Cointrin,GVE,6700,2498904.439,1122631.739,6.12774166666667,46.2475194444444,410.88,Westliches Mittelland,5,4,2,2,2,2
Luzern,LUZ,6650,2665544.624,1209849.546,8.30102222222222,47.0364388888889,454.32,Zentrales Mittelland,4,1,3,2,3,3
Neuchâtel,NEU,6604,2563086.694,1205559.993,6.95329722222222,47.0000666666667,485,Westliches Mittelland,5,4,2,2,2,2
Locarno / Monti,OTL,6760,2704166.702,1114315.875,8.78749444444444,46.1722555555556,366.98,Alpensüdseite,12,1,4,1,4,4
Bad Ragaz,RAG,6686,2756911.098,1209350.657,9.50259444444444,47.0166305555556,496.5,Nord- und Mittelbünden,9,2,3,2,3,3
Säntis,SAE,6680,2744188.01,1234920.31,9.34346944444444,47.2494472222222,2501.47,Östlicher Alpennordhang,6,2,1,4,1,1
Samedan,SAM,6792,2787250.867,1155684.798,9.87946944444444,46.5262472222222,1708.51,Engadin,11,3,4,3,4,4
Segl-Maria,SIA,6779,2778576.017,1144976.097,9.762325,46.4323305555556,1804,Engadin,11,3,4,3,4,4
Sion,SIO,6720,2591632.818,1118583.841,7.33020277777778,46.21865,482,Wallis,10,4,2,2,2,2
Zürich / Fluntern,SMA,6660,2685117.872,1248065.637,8.56574166666667,47.377925,555.95,Nordöstliches Mittelland,3,1,3,2,2,3
St. Gallen,STG,6681,2747865.848,1254587.703,9.39852777777778,47.425475,775.66,Nordöstliches Mittelland,3,2,3,1,3,3
