name,stn,wmo_ind,chx,chy,lon,lat,elev,climate_region,climate_region_nr,cluster_lonlat_kmeans,cluster_pca_kmeans,cluster_stats_kmeans,cluster_pca_h,PC1,PC2,PC3,PC4
Andermatt,ANT,6695,2687444.588,1165043.768,8.58055277777778,46.6309138888889,1438,Zentraler Alpennordhang,7,1,1,3,1,0.22829482218236016,0.10704152752380233,-0.24633522585685594,0.31065278689297243
Basel / Binningen,BAS,6601,2610908.717,1265611.953,7.583525,47.5411416666667,316.172,Östlicher Jura,1,1,2,2,2,0.2454605214925456,-0.011809940513033537,-0.017850298304969495,-0.363397131280198
La Chaux-de-Fonds,CDF,6612,2550919.036,1214861.977,6.79231388888889,47.0829472222222,1017.01,Westlicher Jura,2,4,2,1,2,0.2561592396118222,-0.22563260556963094,-0.10060735700192744,-0.16013057780533746
Château-d'Oex,CHD,6627,2577040.137,1147654.83,7.13965555555556,46.4798194444444,1028,Westlicher Alpennordhang,8,4,2,1,2,0.2650797960355026,-0.1722273108923167,0.07178331816010552,-0.1109975590484176
Davos,DAV,6784,2783519.136,1187458.747,9.84355833333333,46.8129694444444,1594.16,Nord- und Mittelbünden,9,3,3,3,3,0.2422165111771782,0.13529183559000313,0.18931498020274162,0.2426852367986462
Engelberg,ENG,6655,2674161.606,1186069.271,8.41051388888889,46.8216388888889,1035.66,Zentraler Alpennordhang,7,1,3,1,3,0.26328681856668384,0.04492036587280414,0.2440895714252822,0.09353279269944305
Grimsel Hospiz,GRH,6744,2668583.297,1158214.72,8.33325555555555,46.5716888888889,1980,Westlicher Alpennordhang,8,1,1,4,1,0.19296221395240243,-0.2915649493460168,-0.10891465764071967,0.4643899821690962
Col du Grand St-Bernard,GSB,6717,2579191.125,1079754.155,7.17068333333333,45.8690916666667,2472,Alpensüdseite,12,4,1,4,1,0.17453508456882022,-0.20288194301553314,-0.4234525094396572,0.2270043497190756
Genève / Cointrin,GVE,6700,2498904.439,1122631.739,6.12774166666667,46.2475194444444,410.88,Westliches Mittelland,5,4,2,2,2,0.22213141837396772,-0.05465573236992622,-0.33809238990943247,-0.3054229554451946
Luzern,LUZ,6650,2665544.624,1209849.546,8.30102222222222,47.0364388888889,454.32,Zentrales Mittelland,4,1,3,2,3,0.23684145644684593,0.07714973876328758,0.3369192589397069,-0.1551464949680361
Neuchâtel,NEU,6604,2563086.694,1205559.993,6.95329722222222,47.0000666666667,485,Westliches Mittelland,5,4,2,2,2,0.24517922525736924,-0.12833558047686955,-0.17939980801890493,-0.3511151828992725
Locarno / Monti,OTL,6760,2704166.702,1114315.875,8.78749444444444,46.1722555555556,366.98,Alpensüdseite,12,1,4,1,4,0.16168270843322197,0.4310941774587699,-0.2786330447527292,-0.026191996880849597
Bad Ragaz,RAG,6686,2756911.098,1209350.657,9.50259444444444,47.0166305555556,496.5,Nord- und Mittelbünden,9,2,3,2,3,0.24884276381747572,0.09378805487708447,0.2097081165780965,0.24091064926592215
Säntis,SAE,6680,2744188.01,1234920.31,9.34346944444444,47.2494472222222,2501.47,Östlicher Alpennordhang,6,2,1,4,1,0.2097831920264107,-0.3482108094884347,0.13536985766829612,0.23661235045424867
Samedan,SAM,6792,2787250.867,1155684.798,9.87946944444444,46.5262472222222,1708.51,Engadin,11,3,4,3,4,0.21160643096498025,0.4271792041191931,-0.07574216496777855,0.054831622252483905
Segl-Maria,SIA,6779,2778576.017,1144976.097,9.762325,46.4323305555556,1804,Engadin,11,3,4,3,4,0.1994103704912819,0.4320442838455297,-0.17269467953535989,0.08213447742625185
Sion,SIO,6720,2591632.818,1118583.841,7.33020277777778,46.21865,482,Wallis,10,4,2,2,2,0.23382233870446933,-0.20653705768973007,-0.13550554746503046,-0.04904093074617417
Zürich / Fluntern,SMA,6660,2685117.872,1248065.637,8.56574166666667,47.377925,555.95,Nordöstliches Mittelland,3,1,3,2,2,0.25683119572958024,-0.046419719129312365,0.19526079158525847,-0.1690298144921939
St. Gallen,STG,6681,2747865.848,1254587.703,9.39852777777778,47.425475,775.66,Nordöstliches Mittelland,3,2,3,1,3,0.2307835018447006,0.07798848166572504,0.3809701574263537,-0.05067591695089943
